age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,contact_date
27,technician,married,secondary,0,2183,1,1,unknown,857,1,-1,0,unknown,1,2023-05-21
34,retired,married,primary,0,4499,0,0,unknown,1681,1,-1,0,unknown,1,2023-05-21
30,technician,single,tertiary,0,1289,1,0,unknown,1697,2,-1,0,unknown,1,2023-05-21
32,technician,single,tertiary,0,4665,1,0,unknown,860,2,-1,0,unknown,1,2023-05-21
37,technician,single,secondary,0,3326,1,0,unknown,799,1,-1,0,unknown,1,2023-05-21
32,blue-collar,married,secondary,0,783,1,0,unknown,923,3,-1,0,unknown,1,2023-05-21
33,blue-collar,married,secondary,0,0,1,0,unknown,521,3,-1,0,unknown,1,2023-05-21
35,blue-collar,married,primary,0,994,1,0,unknown,1349,8,-1,0,unknown,1,2023-05-23
35,self-employed,divorced,tertiary,0,1354,1,0,unknown,736,2,-1,0,unknown,1,2023-05-23
30,blue-collar,single,secondary,0,239,1,0,unknown,785,1,-1,0,unknown,1,2023-05-23
45,blue-collar,divorced,primary,0,-311,1,0,unknown,1030,1,-1,0,unknown,1,2023-05-23
45,admin.,married,secondary,0,149,1,0,unknown,893,3,-1,0,unknown,1,2023-05-23
33,blue-collar,married,secondary,0,1464,1,0,unknown,588,3,-1,0,unknown,1,2023-05-23
44,management,divorced,tertiary,0,5773,0,0,unknown,597,6,-1,0,unknown,1,2023-05-23
40,blue-collar,married,primary,0,278,1,0,unknown,1015,3,-1,0,unknown,1,2023-05-23
31,blue-collar,married,secondary,0,2910,1,0,unknown,1392,2,-1,0,unknown,1,2023-05-23
30,technician,married,tertiary,0,541,1,0,unknown,414,2,-1,0,unknown,1,2023-05-26
44,technician,divorced,secondary,0,1262,1,0,unknown,788,11,-1,0,unknown,1,2023-05-26
34,services,married,secondary,0,-538,1,0,unknown,682,1,-1,0,unknown,1,2023-05-26
37,blue-collar,married,secondary,0,125,0,0,unknown,679,2,-1,0,unknown,1,2023-05-26
28,self-employed,single,tertiary,0,0,1,0,unknown,1560,2,-1,0,unknown,1,2023-05-26
32,admin.,single,secondary,0,620,1,0,unknown,1234,3,-1,0,unknown,1,2023-05-26
37,blue-collar,divorced,secondary,0,316,1,0,unknown,642,2,-1,0,unknown,1,2023-05-26
34,management,married,tertiary,0,2287,1,0,unknown,895,4,-1,0,unknown,1,2023-05-26
38,admin.,divorced,secondary,0,198,1,0,unknown,431,2,-1,0,unknown,1,2023-05-26
28,admin.,single,secondary,0,460,1,0,unknown,741,6,-1,0,unknown,1,2023-05-26
31,management,divorced,tertiary,0,1145,1,0,unknown,1272,4,-1,0,unknown,1,2023-05-26
59,services,married,secondary,0,-22,1,0,unknown,748,3,-1,0,unknown,1,2023-05-26
24,blue-collar,married,secondary,0,685,1,0,unknown,896,3,-1,0,unknown,1,2023-05-26
26,services,single,secondary,0,901,1,0,unknown,764,2,-1,0,unknown,1,2023-05-26
59,retired,single,secondary,0,351,1,0,unknown,1063,5,-1,0,unknown,1,2023-05-27
30,entrepreneur,single,primary,0,0,1,1,unknown,1051,1,-1,0,unknown,1,2023-05-27
37,admin.,married,secondary,0,274,1,0,unknown,731,3,-1,0,unknown,1,2023-05-27
30,admin.,single,secondary,0,-213,1,1,unknown,751,1,-1,0,unknown,1,2023-05-27
25,blue-collar,married,secondary,0,97,1,0,unknown,709,1,-1,0,unknown,1,2023-05-27
44,services,divorced,secondary,0,51,1,1,unknown,3094,2,-1,0,unknown,1,2023-05-27
29,management,married,tertiary,0,314,0,0,unknown,938,2,-1,0,unknown,1,2023-05-28
26,management,single,tertiary,0,6840,1,0,unknown,1560,2,-1,0,unknown,1,2023-05-28
26,technician,single,secondary,0,668,1,0,unknown,576,3,-1,0,unknown,1,2023-05-28
27,services,single,secondary,0,54,1,0,unknown,543,2,-1,0,unknown,1,2023-05-28
25,self-employed,single,secondary,0,1242,1,0,unknown,615,2,-1,0,unknown,1,2023-05-28
28,management,married,secondary,0,292,1,0,unknown,507,1,-1,0,unknown,1,2023-05-28
23,services,single,secondary,0,665,1,0,unknown,1183,1,-1,0,unknown,1,2023-05-28
34,management,single,tertiary,0,1058,1,0,unknown,864,2,-1,0,unknown,1,2023-05-28
28,student,single,secondary,0,949,1,0,unknown,1730,1,-1,0,unknown,1,2023-05-28
51,entrepreneur,married,unknown,0,606,1,0,unknown,560,9,-1,0,unknown,1,2023-05-28
35,blue-collar,married,secondary,0,0,1,1,unknown,543,1,-1,0,unknown,1,2023-05-29
35,admin.,married,secondary,0,404,1,0,unknown,539,1,-1,0,unknown,1,2023-05-29
56,blue-collar,married,secondary,0,249,1,0,unknown,791,2,-1,0,unknown,1,2023-05-29
45,unemployed,divorced,secondary,0,3354,1,0,unknown,746,1,-1,0,unknown,1,2023-05-29
60,blue-collar,divorced,secondary,0,0,1,0,unknown,1207,1,-1,0,unknown,1,2023-05-29
56,technician,married,secondary,0,589,1,0,unknown,535,2,-1,0,unknown,1,2023-05-29
27,management,single,tertiary,0,12956,1,0,unknown,789,3,-1,0,unknown,1,2023-05-29
30,admin.,married,secondary,0,873,1,0,unknown,792,3,-1,0,unknown,1,2023-05-29
45,blue-collar,divorced,primary,0,594,1,0,unknown,833,2,-1,0,unknown,1,2023-05-29
29,blue-collar,single,secondary,0,-20,1,0,unknown,814,2,-1,0,unknown,1,2023-05-29
38,management,divorced,tertiary,0,4692,1,0,unknown,1363,2,-1,0,unknown,1,2023-05-29
30,blue-collar,married,secondary,0,486,1,0,unknown,1109,3,-1,0,unknown,1,2023-05-29
44,blue-collar,single,primary,0,1593,1,0,unknown,828,3,-1,0,unknown,1,2023-05-29
36,management,single,tertiary,0,7606,1,0,unknown,917,1,-1,0,unknown,1,2023-05-30
38,technician,married,secondary,0,226,1,0,unknown,762,3,-1,0,unknown,1,2023-05-30
36,blue-collar,single,secondary,0,366,1,1,unknown,1133,2,-1,0,unknown,1,2023-05-30
37,management,divorced,secondary,0,16,1,0,unknown,638,1,-1,0,unknown,1,2023-05-30
35,management,single,tertiary,0,565,1,0,unknown,763,1,-1,0,unknown,1,2023-05-30
38,admin.,divorced,secondary,0,19,1,0,unknown,604,2,-1,0,unknown,1,2023-05-30
40,services,married,primary,0,1082,1,0,unknown,854,2,-1,0,unknown,1,2023-05-30
42,unemployed,divorced,secondary,0,1713,1,0,unknown,855,2,-1,0,unknown,1,2023-05-30
46,management,divorced,tertiary,0,14481,1,0,unknown,1269,1,-1,0,unknown,1,2023-05-30
35,technician,divorced,secondary,0,5724,1,0,unknown,691,10,-1,0,unknown,1,2023-05-30
34,technician,divorced,secondary,0,1451,1,0,unknown,1097,15,-1,0,unknown,1,2023-05-30
32,services,married,secondary,0,-34,1,0,unknown,1236,2,-1,0,unknown,1,2023-05-30
50,unemployed,married,secondary,0,3674,1,0,unknown,886,3,-1,0,unknown,1,2023-05-30
35,blue-collar,married,secondary,0,698,1,1,unknown,1343,3,-1,0,unknown,1,2023-05-30
36,technician,single,secondary,0,4136,1,0,unknown,812,3,-1,0,unknown,1,2023-05-30
53,blue-collar,divorced,primary,0,2656,1,0,unknown,1980,2,-1,0,unknown,1,2023-05-30
46,management,single,tertiary,0,2904,1,0,unknown,984,2,-1,0,unknown,1,2023-05-30
26,management,single,tertiary,0,1004,1,0,unknown,228,2,-1,0,unknown,1,2023-05-30
45,technician,single,secondary,0,410,1,0,unknown,891,4,-1,0,unknown,1,2023-05-30
31,unemployed,divorced,primary,0,0,1,0,unknown,745,12,-1,0,unknown,1,2023-05-30
29,management,single,tertiary,0,0,1,0,unknown,539,12,-1,0,unknown,1,2023-05-30
53,entrepreneur,single,secondary,0,62,1,0,unknown,1044,5,-1,0,unknown,1,2023-05-30
27,blue-collar,married,primary,0,416,1,0,unknown,1193,2,-1,0,unknown,1,2023-05-30
39,management,married,tertiary,0,2763,1,0,unknown,526,2,-1,0,unknown,1,2023-06-02
36,services,married,secondary,0,2984,1,0,unknown,394,1,-1,0,unknown,1,2023-06-02
41,blue-collar,married,primary,0,143,1,1,unknown,659,2,-1,0,unknown,1,2023-06-02
36,services,married,primary,0,0,1,0,unknown,1036,1,-1,0,unknown,1,2023-06-02
32,technician,married,secondary,0,696,1,0,unknown,815,1,-1,0,unknown,1,2023-06-02
35,services,married,secondary,0,152,1,0,unknown,563,1,-1,0,unknown,1,2023-06-02
36,management,single,tertiary,0,-78,1,0,unknown,1068,1,-1,0,unknown,1,2023-06-02
35,management,married,tertiary,0,867,1,0,unknown,230,3,-1,0,unknown,1,2023-06-02
30,blue-collar,single,secondary,0,953,1,0,unknown,747,2,-1,0,unknown,1,2023-06-02
42,blue-collar,married,secondary,0,443,1,0,unknown,671,5,-1,0,unknown,1,2023-06-02
42,technician,single,secondary,1,-1129,1,0,unknown,555,5,-1,0,unknown,1,2023-06-02
32,blue-collar,married,primary,0,415,1,0,unknown,777,4,-1,0,unknown,1,2023-06-02
29,blue-collar,single,secondary,0,260,1,0,unknown,707,14,-1,0,unknown,1,2023-06-02
44,management,divorced,tertiary,1,-411,1,0,unknown,432,4,-1,0,unknown,1,2023-06-02
32,technician,single,secondary,0,1279,1,0,unknown,1173,3,-1,0,unknown,1,2023-06-03
31,unemployed,married,secondary,0,86,1,1,unknown,963,2,-1,0,unknown,1,2023-06-03
40,self-employed,married,secondary,1,-754,1,1,unknown,941,3,-1,0,unknown,1,2023-06-03
43,entrepreneur,married,secondary,0,0,0,0,unknown,1025,7,-1,0,unknown,1,2023-06-03
27,management,single,secondary,0,178,1,0,unknown,732,2,-1,0,unknown,1,2023-06-03
37,services,single,secondary,0,278,1,0,unknown,1045,3,-1,0,unknown,1,2023-06-03
23,services,single,secondary,0,425,1,0,unknown,768,1,-1,0,unknown,1,2023-06-03
25,management,married,primary,0,168,1,0,unknown,801,1,-1,0,unknown,1,2023-06-03
26,blue-collar,single,secondary,1,-36,1,0,unknown,482,2,-1,0,unknown,1,2023-06-03
47,blue-collar,divorced,primary,0,126,1,0,unknown,2456,2,-1,0,unknown,1,2023-06-03
35,admin.,married,secondary,0,-87,1,0,unknown,1363,7,-1,0,unknown,1,2023-06-03
32,technician,single,tertiary,0,6281,1,0,unknown,1336,4,-1,0,unknown,1,2023-06-03
45,management,divorced,secondary,0,644,1,0,unknown,633,1,-1,0,unknown,1,2023-06-04
30,admin.,divorced,secondary,0,377,1,0,unknown,524,15,-1,0,unknown,1,2023-06-04
29,services,single,secondary,0,-271,1,0,unknown,578,1,-1,0,unknown,1,2023-06-04
38,blue-collar,married,primary,0,5839,1,0,unknown,984,2,-1,0,unknown,1,2023-06-04
23,blue-collar,single,secondary,0,492,1,0,unknown,638,1,-1,0,unknown,1,2023-06-04
27,management,single,tertiary,0,99,1,0,unknown,767,2,-1,0,unknown,1,2023-06-04
27,management,single,tertiary,1,-713,1,0,unknown,525,2,-1,0,unknown,1,2023-06-04
29,services,single,secondary,0,32,1,0,unknown,563,1,-1,0,unknown,1,2023-06-04
30,self-employed,married,tertiary,0,543,1,1,unknown,1449,6,-1,0,unknown,1,2023-06-04
36,blue-collar,married,primary,0,403,1,0,unknown,920,1,-1,0,unknown,1,2023-06-04
35,admin.,divorced,secondary,0,437,1,0,unknown,908,1,-1,0,unknown,1,2023-06-04
36,blue-collar,married,secondary,0,1772,0,0,unknown,208,1,-1,0,unknown,1,2023-06-05
59,retired,divorced,primary,0,-88,1,0,unknown,910,2,-1,0,unknown,1,2023-06-05
47,entrepreneur,married,secondary,0,0,0,0,unknown,1446,1,-1,0,unknown,1,2023-06-05
58,entrepreneur,married,tertiary,0,853,0,0,unknown,1149,2,-1,0,unknown,1,2023-06-05
37,management,single,tertiary,0,240,0,0,unknown,1123,1,-1,0,unknown,1,2023-06-05
46,admin.,single,secondary,0,849,1,0,unknown,508,2,-1,0,unknown,1,2023-06-05
43,blue-collar,single,secondary,0,318,1,0,unknown,736,2,-1,0,unknown,1,2023-06-05
27,management,single,tertiary,0,703,1,0,unknown,590,3,-1,0,unknown,1,2023-06-05
38,services,divorced,secondary,0,61,0,0,unknown,636,1,-1,0,unknown,1,2023-06-05
53,housemaid,married,primary,0,104,0,1,unknown,701,1,-1,0,unknown,1,2023-06-05
47,blue-collar,married,secondary,0,1996,0,0,unknown,761,2,-1,0,unknown,1,2023-06-05
56,housemaid,divorced,primary,1,1238,0,0,unknown,1558,1,-1,0,unknown,1,2023-06-05
41,housemaid,married,secondary,0,879,0,0,unknown,1053,2,-1,0,unknown,1,2023-06-05
29,self-employed,married,secondary,0,425,1,0,unknown,562,15,-1,0,unknown,1,2023-06-05
50,technician,married,secondary,0,416,1,0,unknown,494,5,-1,0,unknown,1,2023-06-05
45,blue-collar,divorced,primary,0,844,0,0,unknown,1018,3,-1,0,unknown,1,2023-06-05
35,blue-collar,married,secondary,0,860,1,0,unknown,884,4,-1,0,unknown,1,2023-06-05
26,technician,single,secondary,0,639,1,0,unknown,709,5,-1,0,unknown,1,2023-06-06
26,admin.,married,secondary,0,710,1,1,unknown,1276,2,-1,0,unknown,1,2023-06-06
37,blue-collar,married,unknown,0,1508,0,1,unknown,381,2,-1,0,unknown,1,2023-06-06
30,admin.,single,secondary,0,223,1,0,unknown,862,11,-1,0,unknown,1,2023-06-06
38,management,single,tertiary,0,619,1,0,unknown,460,4,-1,0,unknown,1,2023-06-06
37,services,divorced,secondary,0,319,1,0,unknown,467,3,-1,0,unknown,1,2023-06-06
53,technician,married,secondary,0,480,0,0,unknown,648,2,-1,0,unknown,1,2023-06-06
29,blue-collar,single,primary,0,213,1,0,unknown,2653,3,-1,0,unknown,1,2023-06-06
35,management,single,tertiary,0,68,0,0,unknown,1085,1,-1,0,unknown,1,2023-06-06
28,blue-collar,married,secondary,0,2788,1,0,unknown,369,2,-1,0,unknown,1,2023-06-06
55,blue-collar,married,unknown,0,7561,0,0,unknown,685,3,-1,0,unknown,1,2023-06-06
49,management,divorced,secondary,0,-46,1,0,unknown,1055,10,-1,0,unknown,1,2023-06-09
50,services,married,secondary,0,1595,0,0,unknown,882,1,-1,0,unknown,1,2023-06-09
43,management,single,tertiary,0,1046,0,0,unknown,901,1,-1,0,unknown,1,2023-06-09
58,self-employed,divorced,tertiary,0,1382,0,0,unknown,700,1,-1,0,unknown,1,2023-06-09
38,technician,married,primary,0,217,1,0,unknown,491,6,-1,0,unknown,1,2023-06-09
48,blue-collar,divorced,primary,0,183,0,0,unknown,940,1,-1,0,unknown,1,2023-06-09
59,management,married,secondary,0,1321,0,0,unknown,3881,3,-1,0,unknown,1,2023-06-09
58,blue-collar,married,secondary,0,25,0,0,unknown,486,3,-1,0,unknown,1,2023-06-09
36,self-employed,single,tertiary,0,4844,0,0,unknown,1137,3,-1,0,unknown,1,2023-06-09
42,entrepreneur,married,tertiary,0,5345,0,0,unknown,878,3,-1,0,unknown,1,2023-06-11
41,admin.,single,secondary,0,812,0,1,unknown,583,4,-1,0,unknown,1,2023-06-11
42,admin.,married,secondary,0,105,0,0,unknown,1159,4,-1,0,unknown,1,2023-06-11
39,management,married,tertiary,0,-190,0,1,unknown,893,8,-1,0,unknown,1,2023-06-11
57,housemaid,married,primary,0,625,0,1,unknown,867,1,-1,0,unknown,1,2023-06-11
52,retired,married,unknown,0,293,0,0,unknown,706,1,-1,0,unknown,1,2023-06-11
59,retired,married,unknown,0,1033,0,0,unknown,1199,1,-1,0,unknown,1,2023-06-11
56,blue-collar,married,secondary,0,1210,0,0,unknown,935,1,-1,0,unknown,1,2023-06-11
49,management,married,tertiary,0,64,0,0,unknown,586,1,-1,0,unknown,1,2023-06-11
35,blue-collar,divorced,unknown,0,164,0,0,unknown,967,2,-1,0,unknown,1,2023-06-11
36,unemployed,married,secondary,0,1766,0,0,unknown,595,2,-1,0,unknown,1,2023-06-11
40,admin.,single,tertiary,0,1248,0,0,unknown,1290,2,-1,0,unknown,1,2023-06-11
55,blue-collar,married,secondary,0,0,0,0,unknown,614,2,-1,0,unknown,1,2023-06-12
58,admin.,married,secondary,0,826,0,0,unknown,885,1,-1,0,unknown,1,2023-06-12
39,self-employed,married,tertiary,0,2630,0,0,unknown,651,5,-1,0,unknown,1,2023-06-12
47,housemaid,single,tertiary,0,3727,0,0,unknown,993,6,-1,0,unknown,1,2023-06-12
40,management,married,secondary,0,406,1,0,unknown,577,2,-1,0,unknown,1,2023-06-12
35,blue-collar,married,tertiary,0,2999,0,0,unknown,1141,6,-1,0,unknown,1,2023-06-12
48,blue-collar,married,secondary,0,1000,1,0,unknown,1268,2,-1,0,unknown,1,2023-06-12
48,management,divorced,tertiary,0,503,0,1,unknown,1243,7,-1,0,unknown,1,2023-06-12
